feature,mean_selection_freq,selected_in_n_folds
NEFL,0.9239999999999999,15
LAG3,0.8133333333333332,15
IL-2RB,0.8539999999999999,14
CST5,0.6866666666666668,11
162_U-PAR,0.6573333333333333,10
CDH15,0.6293333333333333,10
184_PD-L2,0.5753333333333334,10
DUSP3,0.5693333333333332,10
148_TR-AP,0.6666666666666666,9
LAMP3,0.6373333333333332,9
LY75,0.6346666666666666,9
181_BNP,0.6053333333333334,9
LILRB4,0.5986666666666668,9
PD-L1,0.5333333333333333,9
102_LDL receptor,0.5713333333333334,8
153_THBS2,0.5453333333333333,8
156_MMP-2,0.5426666666666666,8
EZR,0.528,8
TGF-alpha,0.502,8
GPNMB,0.5913333333333333,7
sFRP-3,0.5533333333333332,7
169_IL-1RT2,0.5319999999999999,6
DEFB4A,0.4873333333333333,6
123_LTBR,0.4766666666666666,6
FCRL6,0.4726666666666667,6
RNF31,0.4726666666666666,6
NCAN,0.45933333333333337,6
IL18,0.44399999999999995,6
HNMT,0.5206666666666666,5
124_IL1RL2,0.518,5
IL6,0.478,5
138_DLK-1,0.40733333333333327,5
CD63,0.384,5
159_TNFSF13B,0.4706666666666667,4
141_GH,0.39333333333333337,4
NT-3,0.3753333333333334,4
113_IL-6,0.42999999999999994,3
TNF,0.40800000000000003,3
KLRD1,0.406,3
BCAN,0.394,3
185_CTSZ,0.37266666666666665,3
186_MMP-3,0.36466666666666664,3
CPA2,0.35866666666666674,3
195_NT-pro BNP,0.35866666666666663,3
IL-17C,0.3026666666666667,3
N-CDase,0.29000000000000004,3
Flt3L,0.37333333333333335,2
CLEC4A,0.36866666666666675,2
133_IL-18,0.334,2
SLAMF1,0.33000000000000007,2
196_HAOX1,0.3146666666666667,2
136_RAGE,0.30533333333333335,2
145_PAPPA,0.294,2
170_SHPS-1,0.27999999999999997,2
CRTAM,0.24399999999999997,2
125_TIMP4,0.23600000000000002,2
TSLP,0.22733333333333333,2
CCL20,0.22133333333333335,2
CD200,0.214,2
180_GT,0.15600000000000003,2
108_ADAM-TS13,0.41866666666666663,1
176_GDF-2,0.4119999999999999,1
NFATC3,0.34199999999999997,1
ARNT,0.3393333333333333,1
CD28,0.31999999999999995,1
CD33,0.31733333333333336,1
BTN3A2,0.3126666666666667,1
ARTN,0.30400000000000005,1
PRDX3,0.30333333333333334,1
126_IL27,0.2886666666666667,1
PIK3AP1,0.28400000000000003,1
FGF-5,0.2826666666666666,1
CXCL1,0.27799999999999997,1
ECE1,0.27666666666666667,1
HSD11B1,0.26666666666666666,1
CARHSP1,0.26333333333333336,1
180_IGFBP-7,0.25599999999999995,1
KLB,0.24999999999999994,1
BMP-4,0.24933333333333335,1
175_CHI3L1,0.24333333333333335,1
PSG1,0.24333333333333335,1
182_IL-18BP,0.242,1
143_GLO1,0.22866666666666668,1
178_SCGB3A2,0.22799999999999995,1
KRT19,0.22466666666666668,1
155_IL-1RT1,0.22066666666666665,1
127_IL-17D,0.21733333333333335,1
133_TR,0.21533333333333332,1
139_SPON1,0.21066666666666664,1
IFNLR1,0.20800000000000002,1
NAAA,0.20533333333333334,1
CLEC6A,0.20199999999999999,1
182_MMP-12,0.19466666666666665,1
TNFRSF9,0.18866666666666668,1
KPNA1,0.184,1
FCRL3,0.17333333333333334,1
GCP5,0.17333333333333334,1
158_HO-1,0.1726666666666667,1
PPP3R1,0.1686666666666667,1
151_MERTK,0.16799999999999998,1
121_PRSS27,0.15866666666666665,1
164_PSGL-1,0.154,1
HGF,0.15,1
TREM1,0.13533333333333336,1
101_BMP-6,0.13000000000000003,1
TDGF1,0.11933333333333333,1
CCL28,0.11200000000000003,1
128_TLT-2,0.11200000000000002,1
PLXNB1,0.11133333333333335,1
176_ST2,0.10933333333333337,1
CEACAM3,0.10866666666666669,1
108_EPHB4,0.10866666666666668,1
KIRREL2,0.09133333333333334,1
MCP-4,0.09066666666666667,1
FCAR,0.08133333333333334,1
CDH17,0.34600000000000003,0
IL-12B,0.2793333333333333,0
MCP-3,0.2733333333333333,0
170_DCN,0.2653333333333333,0
195_PARP-1,0.26133333333333336,0
HAGH,0.24133333333333332,0
IL5.1,0.2353333333333333,0
IL10,0.2306666666666667,0
IL12,0.21533333333333332,0
103_ADM,0.21266666666666667,0
RGMA,0.20000000000000004,0
136_SELE,0.19999999999999998,0
CXCL9,0.1993333333333333,0
152_TIM,0.19666666666666668,0
167_MMP-7,0.196,0
FAM3B,0.194,0
TNFRSF21,0.19333333333333333,0
CLEC4C,0.192,0
116_IDUA,0.19066666666666668,0
122_TIE2,0.19066666666666665,0
IL6.1,0.18600000000000005,0
Beta-NGF.1,0.18533333333333335,0
NDRG1,0.1846666666666667,0
4E-BP1,0.18333333333333332,0
160_PRTN3,0.18066666666666664,0
107_PlGF,0.17933333333333332,0
ING1,0.17866666666666667,0
161_PCSK9,0.178,0
CXCL12,0.17733333333333337,0
142_IL-6RA,0.17533333333333337,0
STC1,0.17266666666666666,0
IL-10RA,0.168,0
ISLR2,0.16733333333333336,0
128_CXCL1,0.16666666666666666,0
FGFR2,0.16666666666666666,0
SMOC2,0.16533333333333333,0
IL7,0.16466666666666666,0
183_ACE2,0.162,0
MANF,0.16133333333333333,0
GALNT3,0.16000000000000003,0
KYNU,0.15933333333333335,0
SMPD1,0.15533333333333335,0
191_HSP 27,0.1553333333333333,0
AOC1,0.15466666666666667,0
153_AP-N,0.15200000000000002,0
MASP1,0.15200000000000002,0
CCL23,0.14999999999999997,0
CTSS,0.1486666666666667,0
ITGB6,0.14800000000000002,0
EDA2R,0.146,0
186_hOSCAR,0.1446666666666667,0
CTSC,0.14333333333333334,0
LAIR-2,0.14200000000000002,0
NTF4,0.14000000000000004,0
RBKS,0.13933333333333336,0
CLEC4G,0.13933333333333334,0
ADAM15,0.13733333333333334,0
TPPP3,0.13466666666666666,0
138_CTRC,0.134,0
152_Ep-CAM,0.13399999999999998,0
MCP-2,0.132,0
PHOSPHO1,0.13133333333333333,0
GZMA,0.13066666666666668,0
TANK,0.13,0
131_GIF,0.12933333333333336,0
ADGRB3,0.12933333333333336,0
EN-RAGE,0.12933333333333333,0
CLEC10A,0.128,0
