feature,stability_frequency,rf_importance
SKR3,0.86,0.061514755300064915
103_ADM,0.73,0.043415625844363495
LILRB4,0.76,0.042579132092807184
MAPT,0.83,0.04094719831107974
162_U-PAR,0.74,0.03937705315298329
185_CTSZ,0.96,0.03808906830515934
EDA2R,0.64,0.035174812425845366
186_MMP-3,0.95,0.03461358016339442
CD6,0.61,0.03422024235516591
BTN3A2,0.8,0.03370129641811279
LAG3,0.95,0.03062831668879663
184_PON3,0.7,0.03027851855031377
153_THBS2,0.78,0.026371575928240704
IKZF2,0.96,0.022212665392638248
157_PRELP,0.95,0.021788872103242544
Flt3L,0.79,0.02145322045837667
CD200,0.84,0.020434500412494148
TGF-alpha,0.64,0.019185124109350266
BCAN,0.67,0.01763528471136261
145_PAPPA,0.95,0.01739988627900208
FCRL6,0.7,0.016944672601908697
SNCG,0.65,0.01685600460310772
190_CA5A,0.82,0.016771124523974182
CD200R1,0.76,0.016353967274488863
177_FABP2,0.62,0.016220134198149244
FGF-5,0.71,0.016159917158222084
164_CTSD,0.71,0.015903062484598433
HMOX2,0.61,0.015598809406180811
CXCL11,0.74,0.014719970853277
170_DCN,0.66,0.014707550050109227
SH2D1A,0.81,0.014128579730170482
ITGB6,0.87,0.01352265511681794
175_CHI3L1,0.96,0.01311727031830675
102_LDL receptor,0.84,0.01285791288189462
LY75,0.86,0.01250383411285926
CASP-8,0.67,0.012487215891315849
128_TLT-2,0.64,0.012474757099990807
GDNF.1,0.77,0.012337536474709693
ITGA11,0.74,0.011229098646267146
148_TR-AP,0.85,0.011145783242127831
KLB,0.72,0.010932389286939312
DEFB4A,0.89,0.010649084257003599
IL-20RA,0.64,0.010645910638082885
CCL20,0.7,0.010502422684920434
CD63,0.79,0.009782555478761487
GPNMB,0.87,0.009600390216557219
NXPH1,0.66,0.008365493781113956
ARTN,0.83,0.006005997473815208
IL-2RB,0.95,0.004052588429194266
EIF5A,0.71,0.002402582082340958
