n_features,fold,hp_max_depth,hp_max_features,hp_min_samples_leaf,hp_n_estimators
1,0,,sqrt,3,300
1,1,,sqrt,3,300
1,2,,sqrt,3,300
1,3,,sqrt,1,300
1,4,,sqrt,3,300
1,5,,sqrt,1,300
1,6,,sqrt,3,300
1,7,,sqrt,3,300
1,8,5.0,sqrt,1,300
1,9,,sqrt,3,300
1,10,,sqrt,1,300
1,11,,sqrt,3,300
1,12,5.0,sqrt,1,300
1,13,,sqrt,3,300
1,14,5.0,sqrt,3,300
2,0,,sqrt,3,300
2,1,,sqrt,3,300
2,2,,sqrt,3,300
2,3,,sqrt,3,300
2,4,5.0,sqrt,3,300
2,5,,sqrt,3,300
2,6,,sqrt,3,300
2,7,5.0,sqrt,1,300
2,8,5.0,sqrt,3,300
2,9,5.0,sqrt,1,300
2,10,5.0,sqrt,1,300
2,11,,sqrt,3,300
2,12,,sqrt,3,300
2,13,,sqrt,3,300
2,14,5.0,sqrt,1,300
3,0,5.0,sqrt,1,300
3,1,5.0,sqrt,3,300
3,2,,sqrt,3,300
3,3,5.0,sqrt,3,300
3,4,5.0,sqrt,3,300
3,5,,sqrt,3,300
3,6,5.0,sqrt,1,300
3,7,,sqrt,3,300
3,8,,sqrt,3,300
3,9,,sqrt,3,300
3,10,,sqrt,3,300
3,11,,sqrt,3,300
3,12,,sqrt,3,300
3,13,5.0,sqrt,3,300
3,14,,sqrt,3,300
4,0,,0.3,3,300
4,1,,0.3,3,300
4,2,,0.3,3,300
4,3,,0.3,3,300
4,4,,0.3,3,300
4,5,5.0,0.3,1,300
4,6,5.0,sqrt,1,300
4,7,,0.3,3,300
4,8,5.0,0.3,1,300
4,9,,0.3,3,300
4,10,,0.3,3,300
4,11,,0.3,3,300
4,12,,0.3,3,300
4,13,,0.3,3,300
4,14,,0.3,3,300
5,0,,0.3,1,300
5,1,,0.3,3,300
5,2,,0.3,3,300
5,3,5.0,0.3,3,300
5,4,,sqrt,3,300
5,5,,0.3,3,300
5,6,,0.3,3,300
5,7,,0.3,3,300
5,8,,0.3,3,300
5,9,,sqrt,3,300
5,10,,0.3,3,300
5,11,,0.3,3,300
5,12,,0.3,1,300
5,13,,0.3,3,300
5,14,5.0,0.3,1,300
6,0,,0.3,3,300
