feature,stability_frequency,rf_importance
143_RETN,0.87,0.0715421185043135
107_PlGF,0.95,0.0667284745361066
162_U-PAR,0.72,0.0466036948620301
SKR3,0.72,0.0414584000472247
179_EGFR,0.97,0.0377805561815357
ATP6V1F,0.9,0.0355406070212054
159_XCL1,0.93,0.0336617431932365
116_IDUA,0.95,0.0287427186229632
177_FABP2,0.98,0.0287028442827011
103_ADM,0.64,0.0282302978614302
IL-20RA,0.98,0.0270751095366392
DFFA,0.84,0.0262994766880175
BCAN,0.84,0.0248525908880359
140_SPON2,0.93,0.0247598191416594
CST5,0.78,0.0237856656182332
HGF,0.63,0.0225284915013142
170_DCN,0.7,0.0212346716949239
CD200R1,0.89,0.0211182038775493
184_PON3,0.69,0.0210501162288318
PSG1,0.99,0.0198270981929918
CLEC4D,0.64,0.0197233684057615
167_MMP-7,0.62,0.0185481020968214
IL10,0.8,0.017394167550856
MCP-3,0.71,0.0160147294761207
CLM-6,0.68,0.0159744506403577
169_IL-1RT2,0.83,0.0156239630082077
185_CTSZ,0.78,0.0150420836866959
148_TR-AP,0.86,0.0149804807436916
Alpha-2-MRAP,0.91,0.0148968025004434
RPS6KB1,0.93,0.0143516027771008
160_PRTN3,0.67,0.0142256842424769
186_MMP-3,0.75,0.0136120185142404
CD83,0.86,0.0134536222863424
WFIKKN1,0.77,0.0131295898715141
CXCL12,0.77,0.0127769158006977
103_ITGB2,0.87,0.012313692497705
IL10.1,0.7,0.0116121849575037
145_PAPPA,0.87,0.0108894470365125
DSG3,0.97,0.0103205683438343
SH2D1A,0.7,0.0101972366762283
PTS,0.71,0.0101929464915852
109_Protein BOC,0.62,0.0092582527146107
UBE2F,0.7,0.0086509057401131
188_ICAM-2,0.67,0.0084871046613422
CCL19,0.72,0.0077016090455852
LY75,0.66,0.0076746010516272
116_CD163,0.7,0.0056220738015835
IL5,0.71,0.0036431148924533
NRTN,0.78,0.0021659820070423
IL33,0.72,0.0
