n_features,roc_auc_mean,roc_auc_std,roc_auc_pooled,average_precision_mean,average_precision_std,average_precision_pooled,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_pooled,accuracy_mean,accuracy_std,accuracy_pooled,f1_mean,f1_std,f1_pooled,precision_mean,precision_std,precision_pooled,recall_mean,recall_std,recall_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,brier_score_mean,brier_score_std,brier_score_pooled,pooled_youden_balanced_accuracy,pooled_youden_f1,youden_threshold
1,0.7080988455988456,0.10571176497960144,0.7137113617376775,0.8176385654097564,0.07625767421149197,0.8049369145246478,0.6622113997113996,0.09763867080346239,0.6608709273182958,0.6629629629629629,0.09305327364892571,0.6631205673758865,0.7004178946941094,0.08879697744815906,0.7040498442367601,0.7508008658008657,0.10302369140736564,0.738562091503268,0.6732323232323232,0.13186627309370305,0.6726190476190477,0.6732323232323232,0.13186627309370305,0.6726190476190477,0.6511904761904762,0.18271551966734537,0.6491228070175439,0.2336673284782096,0.05266923267860172,0.23371365765779398,0.6732456140350878,0.7411764705882353,0.4220928517188537
2,0.7905483405483406,0.04704390803211907,0.7911445279866333,0.840007726560757,0.05689798990897045,0.834099503245136,0.717406204906205,0.06671481869483953,0.7175751879699248,0.7341130604288498,0.06555436190740863,0.7340425531914894,0.7820786749482402,0.0562740364810314,0.782608695652174,0.7643800643800646,0.05063491164385489,0.7627118644067796,0.8050505050505051,0.08399318971495416,0.8035714285714286,0.8050505050505051,0.08399318971495416,0.8035714285714286,0.6297619047619046,0.10246298722570396,0.631578947368421,0.17560511461747036,0.019161608315102333,0.17557499792971987,0.7359022556390977,0.819672131147541,0.4185186480541297
3,0.7804112554112553,0.04786272126119181,0.783625730994152,0.8174084503006073,0.06527578407968786,0.8164143364410847,0.7464646464646464,0.035589836458215784,0.7468671679197996,0.7588693957115008,0.039506417114156846,0.7588652482269503,0.7978971752884798,0.04157228029619557,0.8,0.7942165242165244,0.04010075257808804,0.7906976744186046,0.8095959595959593,0.09361357171348261,0.8095238095238095,0.8095959595959593,0.09361357171348261,0.8095238095238095,0.6833333333333333,0.095323091323944,0.6842105263157895,0.17915684998565282,0.013154412255630032,0.17910293189652057,0.7723997493734336,0.8370786516853933,0.43404954107669785
4,0.7901875901875902,0.039867123783580295,0.7920843776106935,0.8313385511959488,0.053336064936080355,0.8252734819185011,0.7352633477633478,0.04352624600193132,0.7352756892230576,0.752046783625731,0.046208346893755164,0.75177304964539,0.7963914346523044,0.04465107524004274,0.7976878612716763,0.7766744366744368,0.037712623476502484,0.7752808988764045,0.8217171717171716,0.08042273742598806,0.8214285714285714,0.8217171717171716,0.08042273742598806,0.8214285714285714,0.6488095238095237,0.07861393408093278,0.6491228070175439,0.17548940031435825,0.019069760745857388,0.1755539445694234,0.7399749373433584,0.8112676056338028,0.47251832681518807
5,0.8182900432900433,0.056033543251372414,0.8104114452798664,0.8643483884571229,0.05957459760528083,0.8589603102144416,0.7432539682539682,0.060407945287827995,0.7440476190476191,0.7588693957115009,0.059111731751049515,0.7588652482269503,0.8014494684059901,0.052105451266790205,0.8023255813953488,0.7862703962703964,0.049182880085115954,0.7840909090909091,0.8222222222222222,0.08584691372999569,0.8214285714285714,0.8222222222222222,0.08584691372999569,0.8214285714285714,0.6642857142857141,0.10173423331113894,0.6666666666666666,0.170456512107336,0.01767075391988589,0.17030776718918259,0.7531328320802004,0.8181818181818182,0.4595015527191822
6,0.8485569985569986,0.05223668248899219,0.8446637426900585,0.9001610199894513,0.03849193976332647,0.8938640864501666,0.7511724386724388,0.06385139441975804,0.7528195488721805,0.7653021442495126,0.06598149519703331,0.7659574468085106,0.8040294874207919,0.062411567046646015,0.8070175438596491,0.7941336441336443,0.05474646359108554,0.7931034482758621,0.82020202020202,0.09829596717107555,0.8214285714285714,0.82020202020202,0.09829596717107555,0.8214285714285714,0.682142857142857,0.09992708712118444,0.6842105263157895,0.1561013058559387,0.02113310995316134,0.15584330867409243,0.7589285714285714,0.8194842406876791,0.47846016247677453
7,0.8400072150072151,0.043561046193028516,0.8322629490392649,0.893470058610433,0.029487080947713594,0.8820821253382441,0.7325216450216452,0.061139900015221134,0.7337092731829574,0.7479532163742688,0.058949655841365065,0.74822695035461,0.7914748729531339,0.05488012491442774,0.793002915451895,0.7794475894475895,0.05728896557179988,0.7771428571428571,0.8090909090909092,0.08280034195958312,0.8095238095238095,0.8090909090909092,0.08280034195958312,0.8095238095238095,0.655952380952381,0.10996841140216956,0.6578947368421053,0.16347040663475987,0.025327510625569392,0.16308594216177877,0.756109022556391,0.8215297450424929,0.45646920032984345
8,0.8528499278499277,0.05092599082728188,0.8465173350041771,0.9052310781744827,0.030945637145850916,0.894516629766741,0.7386724386724387,0.08132231846196139,0.7395050125313283,0.7512670565302143,0.07864873331728257,0.75177304964539,0.7923201893453611,0.06814055057489853,0.7941176470588235,0.789825914825915,0.07564371119430213,0.7848837209302325,0.8035353535353535,0.10189994054756794,0.8035714285714286,0.8035353535353535,0.10189994054756794,0.8035714285714286,0.6738095238095237,0.13938161707982227,0.6754385964912281,0.15728798231947164,0.02205200247407014,0.15707670131061427,0.756109022556391,0.8215297450424929,0.44322606945377707
9,0.8521464646464645,0.05047478488048537,0.8471961152882206,0.8995171646865052,0.035304667181085096,0.8920941905848495,0.7353896103896104,0.06913523585209706,0.7365288220551378,0.7481481481481481,0.0675582941487612,0.74822695035461,0.7880719930971648,0.06164571048685263,0.7905604719764012,0.7896705146705147,0.07214190312896378,0.783625730994152,0.7969696969696969,0.10396034269473815,0.7976190476190477,0.7969696969696969,0.10396034269473815,0.7976190476190477,0.6738095238095237,0.13938161707982227,0.6754385964912281,0.15496889139643008,0.024470298086353637,0.1548741663775129,0.7609649122807017,0.8392370572207084,0.42
10,0.8704545454545455,0.04908397291616691,0.8712928153717627,0.910301663824391,0.03203604543560341,0.9063198718487733,0.8034992784992785,0.0736495707264014,0.8045112781954887,0.818908382066277,0.07186481792854721,0.8191489361702128,0.8517818767383986,0.061360859178675314,0.8530259365994236,0.8298963998964001,0.06432749107583458,0.8268156424581006,0.8808080808080806,0.0928926224780929,0.8809523809523809,0.8808080808080806,0.0928926224780929,0.8809523809523809,0.7261904761904762,0.11819422009451738,0.7280701754385965,0.14481382876062016,0.025132191085789655,0.14473894049139688,0.8088972431077694,0.8554913294797688,0.5022565783964024
