model,outcome,n_features_main,pooled_auc,pooled_ap,pooled_brier,fold_auc_mean,fold_auc_std,fold_balacc_mean,fold_balacc_std,fold_f1_mean,youden_threshold,peak_auc_value,peak_auc_k,peak_balacc_value,peak_balacc_k,peak_f1_value,peak_f1_k
Random Forest,Within1Yr,33,0.6362787539258127,0.28558439485617854,0.14863300688483322,0.6325462962962961,0.1735614743857245,0.4951388888888889,0.045094605872942034,0.02666666666666667,0.25015666616253546,0.8666666666666667,13,0.7230555555555557,6,0.5111111111111112,14
Random Forest,Within2Yr,50,0.6370967741935483,0.4692130451395388,0.21857809935059094,0.6522537647537646,0.13594474465169,0.5867216117216116,0.10895605341196396,0.38711214711214714,0.47023098747198483,0.8776149776149775,42,0.7478327228327228,3,0.6498544048544049,3
Random Forest,Within3Yr,48,0.694790336313325,0.5858207768929241,0.209325519070752,0.6960317460317459,0.07653230145413527,0.6135281385281386,0.11104822239836665,0.4517351167351167,0.3466666666666667,0.8984126984126983,34,0.7523268398268397,23,0.6826376891082774,24
Random Forest,Within4Yr,38,0.6597000557328874,0.6893350397897906,0.2251355301911251,0.6610521885521887,0.0865826814385884,0.5904124579124578,0.06206288298148228,0.5277900061181795,0.6487508296465355,0.892415824915825,16,0.8125084175084175,17,0.7848543303961263,17
Random Forest,Within5Yr,46,0.6934007343694986,0.7224930260599638,0.220803504430671,0.6940740740740738,0.07103433784356014,0.6448148148148147,0.08214675501321081,0.6336389101094982,0.5366666666666666,0.8775720164609055,46,0.8037037037037038,8,0.8072858617131063,8
Random Forest,Within6Yr,50,0.7137853454006238,0.7822640159355195,0.21232311513007893,0.7316792929292929,0.10723455773487002,0.6319696969696971,0.1217321883343934,0.7018979772863202,0.5733333333333334,0.8755345117845117,41,0.7964225589225589,13,0.8236362381579773,13
Random Forest,Within7Yr,49,0.7192982456140351,0.7916508757123012,0.20547721289279358,0.7346320346320346,0.08882575580975885,0.6438311688311688,0.09296239141226621,0.7465244499828787,0.58,0.8976190476190476,26,0.8104978354978355,19,0.8630226681531031,46
XGBoost,Within1Yr,33,0.5958747135217723,0.2533268636502029,0.18071922658633577,0.5851851851851851,0.2024994465847672,0.5519444444444445,0.08902256194017072,0.24031746031746032,0.056792132556438446,0.8487037037037038,29,0.6815277777777777,28,0.44243386243386246,28
XGBoost,Within2Yr,50,0.6506496415770608,0.514573469504678,0.26085197688853573,0.6509055759055759,0.13611638937883014,0.5992979242979243,0.10898835634870413,0.4411381211381212,0.5809706449508667,0.8839336589336589,23,0.7793650793650795,33,0.6964746364746366,33
XGBoost,Within3Yr,48,0.685291613452533,0.590983780724764,0.24377834467750037,0.6821428571428569,0.09726717893494942,0.6213383838383838,0.10783866663856258,0.48850861556743913,0.6261792778968811,0.881890331890332,31,0.7812409812409812,31,0.7296785567373801,31
XGBoost,Within4Yr,38,0.6460454983026803,0.6553103583192993,0.28211291242486086,0.6483501683501683,0.08862580857605021,0.5811700336700338,0.10514619761681059,0.5362707445060387,0.8201415538787842,0.8996380471380473,23,0.8294276094276095,23,0.8131246416695334,23
